scene,flowStep,trigger,component,sourceFiles,textKeys,visualIds,galleryIds,imagePaths,notes
首页,home,进入首页,HomePage,src/pages/HomePage.tsx;src/config/homeVisual.ts,ui.homepage;ui.button.start;ui.button.continue;ui.button.gallery,home_base,,public/assets/home/base.png,首页主视觉支持普通 CharacterDisplay；不属于图鉴
主界面,month_start,进入月份开始,GamePage; StateStage; YearTimeline; StatPanel,src/pages/GamePage.tsx;src/components/StateStage.tsx;src/components/YearTimeline.tsx;src/components/StatPanel.tsx,ui.game.header;status.main_state;status.tendency,normal;happy;tired;stressed,,public/assets/status/*.png,状态立绘支持 Lightbox
行动选择,action_select,点击安排本月行动,ActionPanel,src/components/ActionPanel.tsx;src/config/plans.ts;src/config/actionVariants.ts,action.*.name;action.*.description;action.*.variant,theaterTrainingAction;fanServiceAction;outsideExposureAction;stageFocusAction,,public/images/xiaota/actions/*.png,行动卡只展示短标签，variant 在结果展示
行动结果,action_result,行动结算完成,ActionResultCard; ResultModal,src/components/ActionResultCard.tsx;src/config/plans.ts;src/config/visualAssets.ts,action.*.feedbackText;action.*.variant,actionVisualKey,,public/images/xiaota/actions/*.png,行动立绘支持 Lightbox，不进图鉴
事件浮层,event_pending,事件触发,EventCard; ResultModal,src/pages/GamePage.tsx;src/config/events.ts,event.*.title;event.*.choice.*.resultText,eventCgKey,fanLetterCg;fanCreationCg;stageMistakeCg;extraPracticeCg;styleChallengeCg;summerInviteCg;lowMoodCg;secretHappyCg,public/images/xiaota/events/*.png,事件选择页不显示 CG，事件结果页显示 CG
年度主题节点,theme_node,到达固定年月,ThemeNodeCard,src/config/works.ts;src/pages/GamePage.tsx,theme.timeline.*.title;theme.timeline.*.description,timeline_*,timeline_*,public/assets/cg/timeline/*.png,assetReady=true 才弹 CG 解锁；缺图不弹 placeholder
作品节点,work_result,到达作品节点并评分,WorkNodeCard,src/config/works.ts;src/utils/workLogic.ts,work.*.title;work.grade.*.narrative,work_*,work_*,public/assets/cg/work/*.png,A/S 且 assetReady=true 才解锁作品 CG
总选结算,annual_result,总选月结算,ResultModal,src/config/annualResults.ts;src/utils/resultDisplay.ts;src/utils/gameLogic.ts,annual.election.*.label;annual.election.*.narrative,election_champion,election_champion,public/assets/cg/annual/election_champion.png,年度 CG 当前预留，素材未就绪
B50结算,annual_result,B50 月结算,ResultModal,src/config/annualResults.ts;src/utils/resultDisplay.ts;src/utils/gameLogic.ts,b50.*.label;b50.*.narrative,b50_highlight,b50_highlight,public/assets/cg/annual/b50_highlight.png,年度 CG 当前预留，素材未就绪
年度总结,year_summary,年末总结,YearSummaryPanel,src/pages/GamePage.tsx;src/utils/gameLogic.ts,ui.year_summary.*,,,,总结文本多为动态拼接，文案变更需谨慎保留变量
CG解锁浮层,visual_unlock,视觉记忆解锁,VisualUnlockCard; GalleryUnlockModal,src/pages/GamePage.tsx;src/App.tsx;src/config/gallery.ts,visual.unlock.title;gallery.*.description,timeline_*;work_*;eventCgKey;ending_*,timeline_*;work_*;eventCgKey;ending_*,public/assets/cg/**/*.png; public/images/xiaota/events/*.png,支持 Lightbox；缺图项不应在主流程弹出
图鉴,gallery,点击图鉴,GalleryPage; GalleryGrid,src/pages/GalleryPage.tsx;src/components/GalleryGrid.tsx;src/config/gallery.ts,gallery.category.*;gallery.*.name;gallery.*.description,all gallery visuals,GALLERY_ITEMS.id,public/assets/**; public/images/**,已解锁详情图支持 Lightbox；未解锁不显示真实图
Lightbox,image_preview,点击可放大图片,ImageLightbox; CharacterDisplay,src/components/ImageLightbox.tsx;src/components/CharacterDisplay.tsx,visual.lightbox.close;visual.lightbox.zoomHint,current image,,,只做 UI 临时状态，不写入存档
FLAME终章,flame_prelude,2025 年 12 月后,GamePage; WorkNodeCard,src/config/works.ts;src/utils/finalChapterLogic.ts;src/utils/gameLogic.ts,flame.*;work.flame.*,work_flame,work_flame,public/assets/cg/work/work_flame.png,当前 FLAME CG 缺图，不弹 placeholder
最终总选,final_election,2026 终章最终总选,ResultModal,src/utils/finalChapterLogic.ts;src/pages/GamePage.tsx,flame.finalElection.*,,,,公式和文案不在本轮修改
结局页,ending_result,结局达成,EndingPage; EndingView,src/pages/EndingPage.tsx;src/components/EndingView.tsx;src/config/finalEndings.ts,ending.*.title;ending.*.subtitle;ending.*.narrative,ending_*,ending_*,public/assets/cg/ending/*.png,结局 CG 当前缺图，页面支持 Lightbox 但不会弹错图
自动推进,auto_advance,点击自动推进到关键节点,App; MonthlySummary,src/App.tsx;src/components/MonthlySummary.tsx;src/utils/autoAdvanceLogic.ts,ui.auto_advance.*,,,,低打断推进摘要，普通事件不弹 CG
玩法说明,guide,点击玩法说明,App,src/App.tsx,ui.guide.*,,,,纯文案弹窗
